CodigoLocalidad,CodigoRecinto,CodigoMesa,opcion,conteo
4539,32232,2079922,FP,1
4539,32232,2079922,MAS-IPSP,6
4539,32232,2079922,UNIDAD,1
4539,32232,2079922,PDC,38
4539,32232,2079932,AP,0
4539,32232,2079932,LYP-ADN,1
4539,32232,2079932,APB-SUMATE,2
4539,32232,2079932,LIBRE,0
4539,32232,2079932,FP,0
4539,32232,2079932,MAS-IPSP,3
4539,32232,2079932,UNIDAD,0
4539,32232,2079932,PDC,6
4542,32235,2079942,AP,0
4542,32235,2079942,LYP-ADN,0
4542,32235,2079942,APB-SUMATE,2
4542,32235,2079942,LIBRE,0
4542,32235,2079942,FP,0
4542,32235,2079942,MAS-IPSP,1
4542,32235,2079942,UNIDAD,0
4542,32235,2079942,PDC,10
4549,32243,2079952,AP,2
4549,32243,2079952,LYP-ADN,0
4549,32243,2079952,APB-SUMATE,2
4549,32243,2079952,LIBRE,1
4549,32243,2079952,FP,1
4549,32243,2079952,MAS-IPSP,4
4549,32243,2079952,UNIDAD,2
4549,32243,2079952,PDC,81
4552,32246,2079962,AP,0
4552,32246,2079962,LYP-ADN,0
4552,32246,2079962,APB-SUMATE,16
4552,32246,2079962,LIBRE,0
4552,32246,2079962,FP,0
4552,32246,2079962,MAS-IPSP,0
4552,32246,2079962,UNIDAD,0
4552,32246,2079962,PDC,4
4548,32241,2086402,AP,4
4548,32241,2086402,LYP-ADN,2
4548,32241,2086402,APB-SUMATE,3
4548,32241,2086402,LIBRE,33
4548,32241,2086402,FP,0
4548,32241,2086402,MAS-IPSP,10
4548,32241,2086402,UNIDAD,3
4548,32241,2086402,PDC,37
4558,32253,2086412,AP,5
4558,32253,2086412,LYP-ADN,0
4558,32253,2086412,APB-SUMATE,1
4558,32253,2086412,LIBRE,22
4558,32253,2086412,FP,0
4558,32253,2086412,MAS-IPSP,4
4558,32253,2086412,UNIDAD,1
4558,32253,2086412,PDC,27
631,2576,2087142,AP,17
631,2576,2087142,LYP-ADN,0
631,2576,2087142,APB-SUMATE,38
631,2576,2087142,LIBRE,7
631,2576,2087142,FP,3
631,2576,2087142,MAS-IPSP,12
631,2576,2087142,UNIDAD,16
631,2576,2087142,PDC,50
635,1060,2087182,AP,1
635,1060,2087182,LYP-ADN,1
635,1060,2087182,APB-SUMATE,49
635,1060,2087182,LIBRE,11
635,1060,2087182,FP,1
635,1060,2087182,MAS-IPSP,1
635,1060,2087182,UNIDAD,7
635,1060,2087182,PDC,43
635,1060,2087192,AP,0
635,1060,2087192,LYP-ADN,0
635,1060,2087192,APB-SUMATE,14
635,1060,2087192,LIBRE,0
635,1060,2087192,FP,0
635,1060,2087192,MAS-IPSP,0
635,1060,2087192,UNIDAD,1
635,1060,2087192,PDC,3
3466,1,2087222,AP,3
3466,1,2087222,LYP-ADN,0
3466,1,2087222,APB-SUMATE,18
3466,1,2087222,LIBRE,2
3466,1,2087222,FP,1
3466,1,2087222,MAS-IPSP,3
3466,1,2087222,UNIDAD,9
3466,1,2087222,PDC,17
3467,1,2087232,AP,7
3467,1,2087232,LYP-ADN,1
3467,1,2087232,APB-SUMATE,44
3467,1,2087232,LIBRE,4
3467,1,2087232,FP,0
3467,1,2087232,MAS-IPSP,0
3467,1,2087232,UNIDAD,8
3467,1,2087232,PDC,22
4599,32344,2087272,AP,39
4599,32344,2087272,LYP-ADN,1
4599,32344,2087272,APB-SUMATE,0
4599,32344,2087272,LIBRE,1
4599,32344,2087272,FP,2
4599,32344,2087272,MAS-IPSP,6
4599,32344,2087272,UNIDAD,1
4599,32344,2087272,PDC,7
627,2575,2087452,AP,2
627,2575,2087452,LYP-ADN,0
627,2575,2087452,APB-SUMATE,130
627,2575,2087452,LIBRE,2
627,2575,2087452,FP,1
627,2575,2087452,MAS-IPSP,1
627,2575,2087452,UNIDAD,2
627,2575,2087452,PDC,20
628,2542,2087462,AP,8
628,2542,2087462,LYP-ADN,2
628,2542,2087462,APB-SUMATE,18
628,2542,2087462,LIBRE,16
628,2542,2087462,FP,2
628,2542,2087462,MAS-IPSP,4
628,2542,2087462,UNIDAD,8
628,2542,2087462,PDC,46
628,2542,2087472,AP,17
628,2542,2087472,LYP-ADN,1
628,2542,2087472,APB-SUMATE,14
628,2542,2087472,LIBRE,12
