CodigoLocalidad,CodigoRecinto,CodigoMesa,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,NombreLocalidad,NombreRecinto,NumeroMesa
1970,32327,6013402,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,2,Caraparí,Saladillo,U.E. Antoniano de Saladillo,1
1973,32325,6013462,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,2,Caraparí,Itau,U.E. Eustaquio Méndez,1
1976,32324,6013522,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,2,Caraparí,Zapatera Norte,Centro Pan,1
4025,25353,6013672,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,2,Caraparí,San Nicolas,Posta Sanitaria Kereimba Renda (Indigena),1
4591,32326,6013692,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,2,Caraparí,Laime,Sede Comunal Laime,1
1979,5,6014842,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Capirendita,U.E. Capirendita,1
1979,5,6014852,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Capirendita,U.E. Capirendita,2
1979,5,6014862,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Capirendita,U.E. Capirendita,3
1979,5,6014872,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Capirendita,U.E. Capirendita,4
1979,5,6014882,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Capirendita,U.E. Capirendita,5
1980,32329,6014922,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Caigua,Sede APG Caigua,1
1981,32331,6014942,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Taihuati,Sede APG Tahiguaty,1
1982,32328,6014972,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Tarairi,U.E. Héroes del Chaco del Tarairi,1
3198,2,6015122,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Resistencia,U.E. Resistencia,1
3509,25528,6015162,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Samayguate,U.E. Samaiguate,1
3510,2,6015172,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Algarrobal,U.E. Algarrobal,1
4592,32330,6015262,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,3,Villa Montes                            ,Tucainty,U.E. Tucainty,1
2043,11,6017762,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Tarupayo,U.E. Tarupayo,1
2046,32321,6017832,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Potrerillos,Centro Sentir Potrerillos 2,1
2047,32320,6017862,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Timboy,Centro Avatirenda,1
2048,16,6017872,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Ñaurenda,U.E. Ñaurenda,1
2048,16,6017882,32,BOLIVIA,6,Tarija,0,4,6,O' Connor,1,Entre Ríos,Ñaurenda,U.E. Ñaurenda,2
