CodigoLocalidad,CodigoRecinto,CodigoMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
2794,216,1002831,240,163,27,25,0,25,215,163,215
2794,216,1002841,240,175,21,15,0,15,211,175,211
2794,216,1002851,240,177,31,9,0,9,217,177,217
2794,216,1002861,240,170,26,17,0,17,213,170,213
2794,216,1002871,240,158,34,23,0,23,215,158,215
2794,216,1002881,240,133,44,26,0,26,203,133,203
2794,216,1002891,240,152,36,29,0,29,217,152,217
2794,216,1002901,240,170,33,16,0,16,219,170,219
2794,216,1002911,240,170,19,24,0,24,213,170,213
2794,216,1002921,240,168,32,15,0,15,215,168,215
2794,216,1002931,240,162,23,23,0,23,208,162,208
2794,216,1002941,240,164,31,23,0,23,218,164,218
2794,216,1002951,240,146,36,29,0,29,211,146,211
2794,216,1002961,240,151,36,26,0,26,213,151,213
2794,216,1002971,240,171,17,19,0,19,207,171,207
2794,216,1002981,240,154,36,23,0,23,213,154,213
2794,216,1002991,240,162,35,23,0,23,220,162,220
2794,216,1003001,240,153,40,18,0,18,211,153,211
2794,216,1003011,240,156,35,21,0,21,212,156,212
2794,216,1003021,240,167,30,15,0,15,212,167,212
2794,216,1003031,240,160,34,21,0,21,215,160,215
2794,216,1003041,240,180,20,12,0,12,212,180,212
2794,216,1003051,240,170,36,16,0,16,222,170,222
2794,216,1003061,240,162,32,18,0,18,212,162,212
2794,216,1003071,240,166,35,18,0,18,219,166,219
2794,216,1003081,136,88,20,12,0,12,120,88,120
2794,113,1003091,240,202,16,7,0,7,225,202,225
2794,113,1003101,240,194,16,6,0,6,216,194,216
2794,113,1003111,240,184,21,8,0,8,213,184,213
2794,113,1003121,240,199,13,6,0,6,218,199,218
2794,113,1003131,240,177,22,12,0,12,211,177,211
2794,113,1003141,145,118,11,7,0,7,136,118,136
2794,219,1003151,240,118,49,41,0,41,208,118,208
2794,219,1003161,240,139,46,41,0,41,226,139,226
2794,219,1003171,240,131,49,23,0,23,203,131,203
2794,219,1003181,240,127,60,27,0,27,214,127,214
2794,219,1003191,240,139,40,26,0,26,205,139,205
2794,219,1003201,240,130,48,34,0,34,212,130,212
2794,219,1003211,240,114,54,38,0,38,206,114,206
2794,219,1003221,240,132,40,31,0,31,203,132,203
2794,219,1003231,240,136,37,27,0,27,200,136,200
2794,219,1003241,240,146,38,29,0,29,213,146,213
2794,219,1003251,240,147,33,27,0,27,207,147,207
2794,219,1003261,240,140,36,36,0,36,212,140,212
2794,219,1003271,240,131,47,31,0,31,209,131,209
2794,219,1003281,240,133,42,26,0,26,201,133,201
2794,219,1003291,240,127,49,32,0,32,208,127,208
2794,219,1003301,240,135,48,24,0,24,207,135,207
2794,219,1003311,240,128,49,27,0,27,204,128,204
2794,219,1003321,240,139,48,23,0,23,210,139,210
2794,219,1003331,240,135,43,28,0,28,206,135,206
2794,219,1003341,240,134,51,19,1,20,205,134,205
2794,219,1003351,240,139,47,30,0,30,216,139,216
2794,219,1003361,240,123,62,26,0,26,211,123,211
2794,219,1003371,240,152,41,20,0,20,213,152,213
2794,219,1003381,240,118,51,30,0,30,199,118,199
2794,219,1003391,240,137,37,38,0,38,212,137,212
2794,219,1003401,58,35,10,6,0,6,51,35,51
2794,25476,1003411,240,169,29,14,0,14,212,169,212
2794,25476,1003421,240,169,26,18,0,18,213,169,213
2794,25476,1003431,240,174,27,11,0,11,212,174,212
2794,25476,1003441,240,154,29,19,0,19,202,154,202
2794,25476,1003451,240,170,31,11,0,11,212,170,212
2794,25476,1003461,240,178,35,11,0,11,224,178,224
2794,25476,1003471,240,165,32,19,0,19,216,165,216
2794,25476,1003481,240,168,30,15,0,15,213,168,213
2794,25476,1003491,240,164,31,16,0,16,211,164,211
2794,25476,1003501,240,169,29,13,0,13,211,169,211
2794,25476,1003511,240,172,33,13,0,13,218,172,218
2794,25476,1003521,240,173,27,10,0,10,210,173,210
2794,25476,1003531,240,173,34,8,0,8,215,173,215
2794,25476,1003541,240,154,37,13,0,13,204,154,204
2794,25476,1003551,240,161,29,17,0,17,207,161,207
2794,25476,1003561,197,141,21,7,0,7,169,141,169
2794,26373,1003571,240,161,42,21,0,21,224,161,224
2794,26373,1003581,240,123,54,39,0,39,216,123,216
2794,26373,1003591,240,138,53,27,0,27,218,138,218
2794,26373,1003601,240,154,42,25,0,25,221,154,221
2794,26373,1003611,240,138,50,37,0,37,225,138,225
2794,26373,1003621,240,157,36,29,0,29,222,157,222
2794,26373,1003631,240,145,36,32,0,32,213,145,213
2794,26373,1003641,123,78,22,13,0,13,113,78,113
2794,123,1003651,240,147,32,21,0,21,200,147,200
