CodigoLocalidad,CodigoRecinto,CodigoMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
4130,25060,102044,320,74,5,59,0,59,138,74,138
4130,25060,102054,320,78,5,60,0,60,143,78,143
4130,25060,102064,320,74,4,63,0,63,141,74,141
4130,25060,102074,320,71,5,53,0,53,129,71,129
4130,25060,102084,320,77,5,73,0,73,155,77,155
4130,25060,102094,320,72,5,62,1,63,140,72,140
4130,25176,102104,320,84,4,52,1,53,141,84,141
4130,25176,102114,320,70,6,33,0,33,109,70,109
4130,25176,102124,320,66,3,55,1,56,125,66,125
4130,25176,102134,320,71,5,58,0,58,134,71,134
4130,25176,102144,320,53,1,80,2,82,136,53,136
4130,25176,102154,320,68,3,51,0,51,122,68,122
4130,25176,102164,320,67,3,67,0,67,137,67,137
4130,25176,102174,320,57,2,77,0,77,136,57,136
4130,25176,102184,320,59,3,66,0,66,128,59,128
4130,25176,102194,138,30,0,35,0,35,65,30,65
4130,25177,102204,320,87,1,52,2,54,142,87,142
4130,25177,102214,320,73,2,51,0,51,126,73,126
4130,25177,102224,214,29,3,36,0,36,68,29,68
4130,25177,102234,320,63,2,70,0,70,135,63,135
4130,25177,102244,320,67,3,40,0,40,110,67,110
4130,25177,102254,320,71,3,66,2,68,142,71,142
4130,25177,102264,320,62,2,61,0,61,125,62,125
4130,25177,102274,320,67,0,54,3,57,124,67,124
4130,25177,102284,320,60,3,56,0,56,119,60,119
4130,25177,102294,320,49,4,75,1,76,129,49,129
4130,25177,102304,320,75,3,53,1,54,132,75,132
4130,25177,102314,320,58,5,67,2,69,132,58,132
4130,25177,102324,320,68,6,49,0,49,123,68,123
4130,25177,102334,320,84,6,62,1,63,153,84,153
4130,25177,102344,320,74,7,61,1,62,143,74,143
4130,25177,102354,320,46,1,74,1,75,122,46,122
4130,25177,102364,320,60,5,51,3,54,119,60,119
4130,25177,102374,320,79,7,65,0,65,151,79,151
4130,25178,102384,320,67,3,49,0,49,119,67,119
4130,25178,102394,320,78,4,50,3,53,135,78,135
4130,25178,102404,320,78,2,50,1,51,131,78,131
4130,25178,102414,320,64,4,63,1,64,132,64,132
4130,25178,102424,320,51,1,58,1,59,111,51,111
4130,25178,102434,320,65,8,47,0,47,120,65,120
4130,25178,102444,320,61,0,60,0,60,121,61,121
4130,25178,102454,76,17,1,8,0,8,26,17,26
4131,25179,102464,320,58,5,47,0,47,110,58,110
4131,25179,102474,320,60,3,43,1,44,107,60,107
4131,25179,102484,320,69,4,32,3,35,108,69,108
4131,25179,102494,320,63,1,43,0,43,107,63,107
4131,25179,102504,320,53,7,48,0,48,108,53,108
4131,25179,102514,320,69,4,44,0,44,117,69,117
4131,25179,102524,320,64,6,37,1,38,108,64,108
4131,25179,102534,298,58,4,46,5,51,113,58,113
4132,25180,102544,320,80,7,58,5,63,150,80,150
4132,25180,102554,320,71,8,63,1,64,143,71,143
4132,25180,102564,320,69,6,52,0,52,127,69,127
4132,25180,102574,320,74,4,42,2,44,122,74,122
4132,25180,102584,320,80,7,63,2,65,152,80,152
4132,25180,102594,320,68,3,51,2,53,124,68,124
4132,25180,102604,320,70,9,48,2,50,129,70,129
4132,25180,102614,320,72,7,63,3,66,145,72,145
4132,25180,102624,320,57,5,52,1,53,115,57,115
4132,25180,102634,289,43,4,64,1,65,112,43,112
4132,25181,102644,320,60,2,51,1,52,114,60,114
4132,25181,102654,320,49,3,53,1,54,106,49,106
4132,25181,102664,320,43,4,48,1,49,96,43,96
4132,25181,102674,320,63,3,52,1,53,119,63,119
4132,25181,102684,320,54,2,56,0,56,112,54,112
4132,25181,102694,320,55,2,44,0,44,101,55,101
4132,25181,102704,165,33,1,21,3,24,58,33,58
4133,25182,102714,320,58,1,35,0,35,94,58,94
4133,25182,102724,320,64,4,40,0,40,108,64,108
4133,25182,102734,320,65,3,39,0,39,107,65,107
4133,25182,102744,320,62,2,29,0,29,93,62,93
4133,25182,102754,320,49,0,41,0,41,90,49,90
4133,25182,102764,320,53,1,32,0,32,86,53,86
4133,25182,102774,320,54,4,39,1,40,98,54,98
4133,25182,102784,320,52,0,39,1,40,92,52,92
4133,25182,102794,333,64,1,54,0,54,119,64,119
4134,25183,102804,320,77,9,56,1,57,143,77,143
4134,25183,102814,320,70,2,81,0,81,153,70,153
4134,25183,102824,320,69,5,65,2,67,141,69,141
4134,25183,102834,320,59,10,75,0,75,144,59,144
4134,25183,102844,320,58,7,79,3,82,147,58,147
4134,25183,102854,320,67,3,54,3,57,127,67,127
4134,25183,102864,46,8,1,12,0,12,21,8,21
4135,25061,102874,320,64,1,58,0,58,123,64,123
4135,25061,102884,320,50,3,56,3,59,112,50,112
4135,25061,102894,320,54,1,52,0,52,107,54,107
4135,25061,102904,320,60,1,75,0,75,136,60,136
4135,25061,102914,320,66,3,65,0,65,134,66,134
4135,25061,102924,320,48,5,59,0,59,112,48,112
4135,25061,102934,320,56,3,63,1,64,123,56,123
4135,25061,102944,320,59,7,55,0,55,121,59,121
4135,25061,102954,320,70,5,56,1,57,132,70,132
4135,25061,102964,320,58,6,64,1,65,129,58,129
4135,25061,102974,207,34,4,49,1,50,88,34,88
